# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 400
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 400
DATA ascii
0.243621 0.745 -0.779218
-0.0075863 0.745 -0.819005
-0.258794 0.745 -0.779218
-0.485411 0.745 -0.66375
-0.665255 0.745 -0.483906
-0.780723 0.745 -0.257288
-0.82051 0.745 -0.0060812
-0.780723 0.745 0.245126
-0.665255 0.745 0.471743
-0.485411 0.745 0.651588
-0.258794 0.745 0.767055
-0.0075863 0.745 0.806842
0.243621 0.745 0.767055
0.470238 0.745 0.651588
0.650083 0.745 0.471743
0.76555 0.745 0.245126
0.805337 0.745 -0.0060812
0.807631 0.700753 -0.270961
0.685879 0.700753 -0.509913
0.496246 0.700753 -0.699547
0.257294 0.700753 -0.821299
-0.0075863 0.700753 -0.863251
-0.272467 0.700753 -0.821299
-0.511418 0.700753 -0.699547
-0.701052 0.700753 -0.509913
-0.822804 0.700753 -0.270961
-0.864757 0.700753 -0.0060812
-0.822804 0.700753 0.258799
-0.701052 0.700753 0.497751
-0.511418 0.700753 0.687384
-0.272467 0.700753 0.809136
-0.0075863 0.700753 0.851089
0.257294 0.700753 0.809136
0.496246 0.700753 0.687384
0.685879 0.700753 0.497751
0.807631 0.700753 0.258799
0.849584 0.700753 -0.0060812
0.834649 0.645 -0.27974
0.708862 0.645 -0.526611
0.512944 0.645 -0.722529
0.266072 0.645 -0.848316
-0.0075863 0.645 -0.891659
-0.281245 0.645 -0.848316
-0.528116 0.645 -0.722529
-0.724034 0.645 -0.526611
-0.849821 0.645 -0.27974
-0.893164 0.645 -0.0060812
-0.849821 0.645 0.267577
-0.724034 0.645 0.514449
-0.528116 0.645 0.710367
-0.281245 0.645 0.836154
-0.0075863 0.645 0.879497
0.266072 0.645 0.836154
0.512943 0.645 0.710367
0.708861 0.645 0.514449
0.834648 0.645 0.267577
0.877992 0.645 -0.0060812
0.843958 0.583196 -0.282765
0.716781 0.583196 -0.532365
0.518697 0.583196 -0.730448
0.269097 0.583196 -0.857626
-0.0075863 0.583196 -0.901448
-0.28427 0.583196 -0.857626
-0.53387 0.583196 -0.730448
-0.731953 0.583196 -0.532365
-0.859131 0.583196 -0.282765
-0.902953 0.583196 -0.0060812
-0.859131 0.583196 0.270602
-0.731953 0.583196 0.520202
-0.53387 0.583196 0.718286
-0.28427 0.583196 0.845463
-0.0075863 0.583196 0.889286
0.269097 0.583196 0.845463
0.518697 0.583196 0.718286
0.716781 0.583196 0.520202
0.843958 0.583196 0.270602
0.88778 0.583196 -0.0060812
0.834649 0.521393 -0.27974
0.708862 0.521393 -0.526611
0.512944 0.521393 -0.722529
0.266072 0.521393 -0.848316
-0.0075863 0.521393 -0.891659
-0.281245 0.521393 -0.848316
-0.528116 0.521393 -0.722529
-0.724034 0.521393 -0.526611
-0.849821 0.521393 -0.27974
-0.893164 0.521393 -0.0060812
-0.849821 0.521393 0.267577
-0.724034 0.521393 0.514449
-0.528116 0.521393 0.710367
-0.281245 0.521393 0.836154
-0.0075863 0.521393 0.879497
0.266072 0.521393 0.836154
0.512943 0.521393 0.710367
0.708861 0.521393 0.514449
0.834648 0.521393 0.267577
0.877992 0.521393 -0.0060812
0.807631 0.465639 -0.270961
0.685879 0.465639 -0.509913
0.496246 0.465639 -0.699547
0.257294 0.465639 -0.821299
-0.0075863 0.465639 -0.863251
-0.272467 0.465639 -0.821299
-0.511418 0.465639 -0.699547
-0.701052 0.465639 -0.509913
-0.822804 0.465639 -0.270961
-0.864757 0.465639 -0.0060812
-0.822804 0.465639 0.258799
-0.701052 0.465639 0.497751
-0.511418 0.465639 0.687384
-0.272467 0.465639 0.809136
-0.0075863 0.465639 0.851089
0.257294 0.465639 0.809136
0.496246 0.465639 0.687384
0.685879 0.465639 0.497751
0.807631 0.465639 0.258799
0.849584 0.465639 -0.0060812
0.76555 0.421393 -0.257289
0.650083 0.421393 -0.483906
0.470238 0.421393 -0.663751
0.243621 0.421393 -0.779218
-0.0075863 0.421393 -0.819005
-0.258794 0.421393 -0.779218
-0.485411 0.421393 -0.66375
-0.665255 0.421393 -0.483906
-0.780723 0.421393 -0.257288
-0.82051 0.421393 -0.0060812
-0.780723 0.421393 0.245126
-0.665255 0.421393 0.471743
-0.485411 0.421393 0.651588
-0.258794 0.421393 0.767055
-0.0075863 0.421393 0.806842
0.243621 0.421393 0.767055
0.470238 0.421393 0.651588
0.650083 0.421393 0.471743
0.76555 0.421393 0.245126
0.805337 0.421393 -0.0060812
0.712526 0.392985 -0.24006
0.604977 0.392985 -0.451135
0.437467 0.392985 -0.618645
0.226392 0.392985 -0.726193
-0.0075863 0.392985 -0.763251
-0.241565 0.392985 -0.726193
-0.45264 0.392985 -0.618645
-0.62015 0.392985 -0.451135
-0.727698 0.392985 -0.24006
-0.764757 0.392985 -0.0060812
-0.727698 0.392985 0.227897
-0.62015 0.392985 0.438972
-0.45264 0.392985 0.606482
-0.241565 0.392985 0.71403
-0.0075863 0.392985 0.751089
0.226392 0.392985 0.71403
0.437467 0.392985 0.606482
0.604977 0.392985 0.438972
0.712525 0.392985 0.227897
0.749584 0.392985 -0.0060812
0.653747 0.383196 -0.220961
0.554977 0.383196 -0.414808
0.40114 0.383196 -0.568645
0.207294 0.383196 -0.667414
-0.0075863 0.383196 -0.701448
-0.222466 0.383196 -0.667414
-0.416313 0.383196 -0.568645
-0.57015 0.383196 -0.414808
-0.668919 0.383196 -0.220961
-0.702953 0.383196 -0.0060812
-0.668919 0.383196 0.208799
-0.57015 0.383196 0.402645
-0.416313 0.383196 0.556482
-0.222466 0.383196 0.655252
-0.0075863 0.383196 0.689285
0.207294 0.383196 0.655252
0.40114 0.383196 0.556482
0.554977 0.383196 0.402645
0.653747 0.383196 0.208799
0.68778 0.383196 -0.0060812
0.594968 0.392985 -0.201863
0.504977 0.392985 -0.37848
0.364813 0.392985 -0.518645
0.188196 0.392985 -0.608636
-0.0075863 0.392985 -0.639645
-0.203368 0.392985 -0.608636
-0.379985 0.392985 -0.518645
-0.52015 0.392985 -0.37848
-0.610141 0.392985 -0.201863
-0.64115 0.392985 -0.0060812
-0.610141 0.392985 0.189701
-0.52015 0.392985 0.366318
-0.379985 0.392985 0.506482
-0.203368 0.392985 0.596473
-0.0075863 0.392985 0.627482
0.188196 0.392985 0.596473
0.364813 0.392985 0.506482
0.504977 0.392985 0.366318
0.594968 0.392985 0.189701
0.625977 0.392985 -0.0060812
0.541943 0.421393 -0.184634
0.459872 0.421393 -0.345709
0.332042 0.421393 -0.473539
0.170967 0.421393 -0.555611
-0.0075863 0.421393 -0.583891
-0.186139 0.421393 -0.555611
-0.347214 0.421393 -0.473539
-0.475044 0.421393 -0.345709
-0.557116 0.421393 -0.184634
-0.585396 0.421393 -0.0060812
-0.557116 0.421393 0.172472
-0.475044 0.421393 0.333547
-0.347214 0.421393 0.461377
-0.186139 0.421393 0.543448
-0.0075863 0.421393 0.571728
0.170967 0.421393 0.543448
0.332042 0.421393 0.461376
0.459871 0.421393 0.333547
0.541943 0.421393 0.172472
0.570223 0.421393 -0.0060812
0.499863 0.465639 -0.170961
0.424075 0.465639 -0.319702
0.306034 0.465639 -0.437743
0.157294 0.465639 -0.51353
-0.0075863 0.465639 -0.539644
-0.172466 0.465639 -0.51353
-0.321207 0.465639 -0.437743
-0.439248 0.465639 -0.319702
-0.515035 0.465639 -0.170961
-0.54115 0.465639 -0.0060812
-0.515035 0.465639 0.158799
-0.439248 0.465639 0.307539
-0.321207 0.465639 0.42558
-0.172466 0.465639 0.501367
-0.0075863 0.465639 0.527482
0.157294 0.465639 0.501367
0.306034 0.465639 0.42558
0.424075 0.465639 0.307539
0.499862 0.465639 0.158799
0.525977 0.465639 -0.0060812
0.472845 0.521393 -0.162183
0.401093 0.521393 -0.303004
0.289336 0.521393 -0.414761
0.148515 0.521393 -0.486513
-0.0075863 0.521393 -0.511237
-0.163688 0.521393 -0.486513
-0.304509 0.521393 -0.414761
-0.416266 0.521393 -0.303004
-0.488018 0.521393 -0.162183
-0.512742 0.521393 -0.0060812
-0.488018 0.521393 0.15002
-0.416266 0.521393 0.290842
-0.304509 0.521393 0.402598
-0.163688 0.521393 0.47435
-0.0075863 0.521393 0.499074
0.148515 0.521393 0.47435
0.289336 0.521393 0.402598
0.401093 0.521393 0.290842
0.472845 0.521393 0.15002
0.497569 0.521393 -0.0060812
